zip,type,primary_city,state,country,latitude,longitude
50232,STANDARD,Reasnor,IA,US,41.57,-93.02
50233,STANDARD,Redfield,IA,US,41.59,-94.19
50234,STANDARD,Rhodes,IA,US,41.92,-93.18
50235,STANDARD,Rippey,IA,US,41.93,-94.2
50236,STANDARD,Roland,IA,US,42.16,-93.5
50237,STANDARD,Runnells,IA,US,41.51,-93.35
50238,STANDARD,Russell,IA,US,40.98,-93.2
50239,STANDARD,Saint Anthony,IA,US,42.12,-93.19
50240,STANDARD,Saint Charles,IA,US,41.28,-93.8
50241,PO BOX,Saint Marys,IA,US,41.3,-93.73
50242,STANDARD,Searsboro,IA,US,41.57,-92.7
50243,PO BOX,Sheldahl,IA,US,41.86,-93.69
50244,STANDARD,Slater,IA,US,41.88,-93.68
50246,STANDARD,Stanhope,IA,US,42.28,-93.79
50247,STANDARD,State Center,IA,US,42.01,-93.16
50248,STANDARD,Story City,IA,US,42.18,-93.59
50249,STANDARD,Stratford,IA,US,42.27,-93.92
50250,STANDARD,Stuart,IA,US,41.5,-94.31
50251,STANDARD,Sully,IA,US,41.57,-92.84
50252,STANDARD,Swan,IA,US,41.47,-93.3
50254,STANDARD,Thayer,IA,US,40.99,-94.07
50255,PO BOX,Thornburg,IA,US,41.46,-92.33
50256,STANDARD,Tracy,IA,US,41.28,-92.87
50257,STANDARD,Truro,IA,US,41.21,-93.84
50258,STANDARD,Union,IA,US,42.24,-93.06
50259,STANDARD,Gifford,IA,US,42.3,-93.09
50261,STANDARD,Van Meter,IA,US,41.53,-93.95
50262,STANDARD,Van Wert,IA,US,40.87,-93.79
50263,STANDARD,Waukee,IA,US,41.6,-93.86
50264,STANDARD,Weldon,IA,US,40.89,-93.73
50265,STANDARD,West Des Moines,IA,US,41.57,-93.75
50266,STANDARD,West Des Moines,IA,US,41.57,-93.8
50268,STANDARD,What Cheer,IA,US,41.4,-92.35
50269,PO BOX,Whitten,IA,US,42.26,-93.01
50271,STANDARD,Williams,IA,US,42.49,-93.54
50272,PO BOX,Williamson,IA,US,41.1,-93.26
50273,STANDARD,Winterset,IA,US,41.33,-94.01
50274,STANDARD,Wiota,IA,US,41.4,-94.88
50275,STANDARD,Woodburn,IA,US,41.01,-93.59
50276,STANDARD,Woodward,IA,US,41.85,-93.92
50277,STANDARD,Yale,IA,US,41.77,-94.35
50278,STANDARD,Zearing,IA,US,42.15,-93.29
50301,PO BOX,Des Moines,IA,US,41.57,-93.61
50302,PO BOX,Des Moines,IA,US,41.57,-93.61
50303,PO BOX,Des Moines,IA,US,41.57,-93.61
50304,PO BOX,Des Moines,IA,US,41.57,-93.61
50305,PO BOX,Des Moines,IA,US,41.57,-93.61
50306,PO BOX,Des Moines,IA,US,41.57,-93.61
50307,STANDARD,Des Moines,IA,US,41.57,-93.61
50308,STANDARD,Des Moines,IA,US,41.57,-93.61
50309,STANDARD,Des Moines,IA,US,41.58,-93.62
50310,STANDARD,Des Moines,IA,US,41.63,-93.67
50311,STANDARD,Des Moines,IA,US,41.6,-93.67
50312,STANDARD,Des Moines,IA,US,41.58,-93.68
50313,STANDARD,Des Moines,IA,US,41.65,-93.62
50314,STANDARD,Des Moines,IA,US,41.6,-93.63
50315,STANDARD,Des Moines,IA,US,41.57,-93.61
50316,STANDARD,Des Moines,IA,US,41.61,-93.6
50317,STANDARD,Des Moines,IA,US,41.62,-93.55
50318,PO BOX,Des Moines,IA,US,41.57,-93.61
50319,STANDARD,Des Moines,IA,US,41.59,-93.6
50320,STANDARD,Des Moines,IA,US,41.53,-93.57
50321,STANDARD,Des Moines,IA,US,41.53,-93.66
50322,STANDARD,Urbandale,IA,US,41.63,-93.74
